,lat,lon,postcode,city,state,village,first_postcode_part,second_postcode_part
895,52.542291437915324,-8.17955870206907,0,0,Munster,0,0,0
896,52.57976532564641,-8.010019358387412,0,0,Munster,0,0,0
897,52.61700216352288,-7.840247341403211,0,0,Munster,0,0,0
898,52.654021915037404,-7.670149285151041,0,0,Munster,0,0,0
899,52.6908033433033,-7.499820421868237,0,0,Leinster,0,0,0
900,52.727366162214096,-7.329167111762117,R95 AK4V,0,Leinster,0,0,0
901,52.7636893916071,-7.15828493041561,0,0,Leinster,0,0,0
902,52.799792494430584,-6.987079966408729,0,0,Leinster,0,0,0
903,52.835654748992965,-6.815648136906789,R93 K8N1,0,Leinster,0,0,0
904,52.871295365960655,-6.643895261126637,0,0,Leinster,0,0,0
905,52.90669388385489,-6.471917595957942,0,0,Leinster,0,0,0
906,52.94186925973361,-6.299620693580137,0,0,Leinster,0,0,0
907,52.97680129406641,-6.127101148654273,A67 DR74,0,Leinster,0,0,0
908,53.34549022999596,-4.211602335860508,LL74 8UN,0,Wales,Benllech,LL,74
909,53.37757555464021,-4.035873996510958,LL77 7YR,0,Wales,0,LL,77
910,53.59531611544259,-2.7988824524391953,L40 4BQ,West Lancashire,England,Hoscar,L,40
911,53.625444518513135,-2.621144428741769,PR7 4BY,0,England,Heath Charnock,PR,7
912,53.655317143407316,-2.4432106377068106,BL7 0NF,0,England,Chapeltown,BL,7
913,53.68494993899753,-2.264983747925936,BL0 0GQ,Rossendale,England,Hugh Mill,BL,0
914,53.71432584026857,-2.086564065921697,OL14 5RG,Calderdale,England,0,OL,14
915,53.74346052688795,-1.9078540275506908,HX2 0TW,Calderdale,England,Fountainhead,HX,2
916,53.77233721673928,-1.7289542442424537,BD4 9NU,Bradford,England,0,BD,4
917,53.800971319127854,-1.5497669222702493,0,Leeds,England,0,0,0
918,53.82934633643271,-1.3703929746439245,0,Leeds,England,Aberford,0,0
919,53.85747740645446,-1.190734381263871,YO23 7BA,0,England,Bolton Percy,YO,23
920,53.88534831764915,-1.010892353288525,YO19 6EG,0,England,Wheldrake,YO,19
