"row" "col"
"701" 71 45
"702" 15 46
"703" 16 46
"704" 17 46
"705" 18 46
"706" 19 46
"707" 20 46
"708" 21 46
"709" 22 46
"710" 23 46
"711" 24 46
"712" 25 46
"713" 26 46
"714" 29 46
"715" 30 46
"716" 31 46
"717" 32 46
"718" 33 46
"719" 48 46
"720" 49 46
"721" 50 46
"722" 51 46
"723" 52 46
"724" 53 46
"725" 54 46
"726" 55 46
"727" 56 46
"728" 57 46
"729" 58 46
"730" 59 46
"731" 60 46
"732" 61 46
"733" 62 46
"734" 63 46
"735" 64 46
"736" 65 46
"737" 66 46
"738" 67 46
"739" 68 46
"740" 69 46
"741" 70 46
"742" 13 47
"743" 14 47
"744" 15 47
"745" 16 47
"746" 17 47
"747" 18 47
"748" 19 47
"749" 20 47
"750" 21 47
"751" 22 47
"752" 23 47
"753" 24 47
"754" 25 47
"755" 26 47
"756" 27 47
"757" 28 47
"758" 29 47
"759" 30 47
"760" 31 47
"761" 32 47
"762" 33 47
"763" 34 47
"764" 44 47
"765" 45 47
"766" 48 47
"767" 49 47
"768" 50 47
"769" 51 47
"770" 52 47
"771" 53 47
"772" 54 47
"773" 55 47
"774" 56 47
"775" 57 47
"776" 58 47
"777" 59 47
"778" 60 47
"779" 61 47
"780" 62 47
"781" 63 47
"782" 64 47
"783" 65 47
"784" 66 47
"785" 67 47
"786" 68 47
"787" 69 47
"788" 70 47
"789" 15 48
"790" 16 48
"791" 17 48
"792" 18 48
"793" 19 48
"794" 20 48
"795" 21 48
"796" 22 48
"797" 23 48
"798" 24 48
"799" 25 48
"800" 26 48
"801" 27 48
"802" 28 48
"803" 29 48
"804" 30 48
"805" 31 48
"806" 32 48
"807" 33 48
"808" 34 48
"809" 35 48
"810" 46 48
"811" 47 48
"812" 48 48
"813" 49 48
"814" 50 48
"815" 51 48
"816" 52 48
"817" 53 48
"818" 54 48
"819" 55 48
"820" 56 48
"821" 57 48
"822" 58 48
"823" 59 48
"824" 60 48
"825" 61 48
"826" 62 48
"827" 63 48
"828" 64 48
"829" 65 48
"830" 66 48
"831" 67 48
"832" 68 48
"833" 69 48
"834" 70 48
"835" 71 48
"836" 12 49
"837" 13 49
"838" 14 49
"839" 15 49
"840" 16 49
"841" 17 49
"842" 18 49
"843" 19 49
"844" 20 49
"845" 21 49
"846" 22 49
"847" 23 49
"848" 24 49
"849" 25 49
"850" 26 49
"851" 27 49
"852" 28 49
"853" 29 49
"854" 30 49
"855" 31 49
"856" 32 49
"857" 33 49
"858" 34 49
"859" 35 49
"860" 36 49
"861" 47 49
"862" 48 49
"863" 49 49
"864" 50 49
"865" 51 49
"866" 52 49
"867" 53 49
"868" 54 49
"869" 55 49
"870" 56 49
"871" 57 49
"872" 58 49
"873" 59 49
"874" 60 49
"875" 61 49
"876" 62 49
"877" 63 49
"878" 64 49
"879" 65 49
"880" 66 49
"881" 67 49
"882" 68 49
"883" 69 49
"884" 70 49
"885" 13 50
"886" 14 50
"887" 15 50
"888" 16 50
"889" 17 50
"890" 18 50
"891" 19 50
"892" 20 50
"893" 21 50
"894" 22 50
"895" 23 50
"896" 24 50
"897" 25 50
"898" 26 50
"899" 27 50
"900" 28 50
"901" 29 50
"902" 30 50
"903" 31 50
"904" 32 50
"905" 33 50
"906" 34 50
"907" 35 50
"908" 36 50
"909" 47 50
"910" 48 50
"911" 55 50
"912" 56 50
"913" 57 50
"914" 58 50
"915" 59 50
"916" 60 50
"917" 61 50
"918" 62 50
"919" 63 50
"920" 64 50
"921" 65 50
"922" 66 50
"923" 67 50
"924" 68 50
"925" 69 50
"926" 70 50
"927" 15 51
"928" 16 51
"929" 17 51
"930" 18 51
"931" 19 51
"932" 20 51
"933" 21 51
"934" 22 51
"935" 23 51
"936" 24 51
"937" 25 51
"938" 26 51
"939" 27 51
"940" 28 51
"941" 29 51
"942" 30 51
"943" 31 51
"944" 32 51
"945" 33 51
"946" 34 51
"947" 35 51
"948" 36 51
"949" 37 51
"950" 46 51
"951" 47 51
"952" 55 51
"953" 56 51
"954" 57 51
"955" 58 51
"956" 59 51
"957" 60 51
"958" 61 51
"959" 62 51
"960" 63 51
"961" 64 51
"962" 65 51
"963" 66 51
"964" 67 51
"965" 68 51
"966" 69 51
"967" 70 51
"968" 12 52
"969" 13 52
"970" 14 52
"971" 16 52
"972" 17 52
"973" 18 52
"974" 19 52
"975" 20 52
"976" 21 52
"977" 22 52
"978" 23 52
"979" 24 52
"980" 25 52
"981" 26 52
"982" 27 52
"983" 28 52
"984" 29 52
"985" 30 52
"986" 31 52
"987" 32 52
"988" 33 52
"989" 34 52
"990" 35 52
"991" 36 52
"992" 37 52
"993" 56 52
"994" 57 52
"995" 58 52
"996" 59 52
"997" 60 52
"998" 61 52
"999" 62 52
"1000" 63 52
"1001" 64 52
"1002" 65 52
"1003" 66 52
"1004" 67 52
"1005" 68 52
"1006" 69 52
"1007" 70 52
"1008" 16 53
"1009" 17 53
"1010" 18 53
"1011" 19 53
"1012" 20 53
"1013" 21 53
"1014" 22 53
"1015" 23 53
"1016" 24 53
"1017" 25 53
"1018" 26 53
"1019" 27 53
"1020" 28 53
"1021" 29 53
"1022" 30 53
"1023" 31 53
"1024" 32 53
"1025" 33 53
"1026" 34 53
"1027" 35 53
"1028" 36 53
"1029" 37 53
"1030" 56 53
"1031" 57 53
"1032" 58 53
"1033" 59 53
"1034" 60 53
"1035" 61 53
"1036" 62 53
"1037" 63 53
"1038" 64 53
"1039" 65 53
"1040" 66 53
"1041" 67 53
"1042" 68 53
"1043" 69 53
"1044" 70 53
"1045" 19 54
